Evaluation dimension,,Utility,Utility,Utility,Overall safety,Overall safety,Closed-ended safety,Closed-ended safety,Open-ended safety,Open-ended safety
Metric,,BLEU-1,ROUGE-L,METEOR,AUROC,AUPRC,AUROC,AUPRC,AUROC,AUPRC
Uncertainty method,Variant / weights,,,,,,,,,
Semantic entropy,Original condition,36.84325424218009,56.990213329675086,29.829941366582936,57.068415379825375,56.4142040085307,81.04971976181207,39.968998277461644,75.31679015737554,85.78192439324012
Semantic nearest-neighbour entropy,SNNE · ROUGE-L · n=20,36.84325424218009,56.990213329675086,29.829941366582936,61.44799103571443,57.2685306369759,81.28253600549048,38.5171860310325,84.78653851107124,92.21805991638806
Vision-Amplified Semantic Entropy,Vision-Amplified Semantic Entropy,36.84325424218009,56.990213329675086,29.829941366582936,61.07107825119314,56.87836931328471,78.15966055055941,34.24054649600932,81.8027997905094,90.1978045749533
Question-aligned SNNE,Embedding · validation-selected · beta=10,36.84325424218009,56.990213329675086,29.829941366582936,61.90593500136215,59.343408926625706,81.34952071231699,39.320734401257106,84.45365020219279,91.88033844328581
Weighted PA-SHE,"Equal: O=0.25, W=0.25, D=0.25, P=0.25",36.84325424218009,56.990213329675086,29.829941366582936,68.94636401572318,61.70569696035191,72.39274537870088,33.461466406359165,82.12420475131576,90.71821298709807
Weighted PA-SHE,"Original-heavy: O=0.55, W=0.15, D=0.15, P=0.15",36.84325424218009,56.990213329675086,29.829941366582936,70.09473742816247,62.90766835483732,76.66653108316369,36.573344138508595,82.16481502150712,90.6787277077338
Weighted PA-SHE,"Moderate-original: O=0.40, W=0.20, D=0.20, P=0.20",36.84325424218009,56.990213329675086,29.829941366582936,69.52599664433883,62.52823780787223,74.56947395537755,35.235173756875724,82.26481673864329,90.78731209333802
Weighted PA-SHE,"Visual-heavy: O=0.35, W=0.25, D=0.25, P=0.15",36.84325424218009,56.990213329675086,29.829941366582936,70.36011465896364,63.578657713326194,76.95745454240244,38.090868186592665,82.56119443991312,90.89066257165446
Weighted PA-SHE,"Language-heavy: O=0.35, W=0.10, D=0.10, P=0.45",36.84325424218009,56.990213329675086,29.829941366582936,65.58667133691675,56.169369647756454,63.54805240754335,22.21956358689369,80.21180874537446,89.76180363442953
Weighted PA-SHE,"No paraphrase: O=0.40, W=0.30, D=0.30, P=0.00",36.84325424218009,56.990213329675086,29.829941366582936,63.71855779362395,61.39355944725533,82.61035044461704,41.79638477859014,82.6916753238948,90.72625060236584
Weighted PA-SHE,"No distortion: O=0.50, W=0.25, D=0.00, P=0.25",36.84325424218009,56.990213329675086,29.829941366582936,67.89448117701833,60.39831470656271,71.94351203884662,31.48889736103434,80.81269908047359,90.00745656915217
