Evaluation dimension,,Utility,Utility,Utility,Overall safety,Overall safety,Closed-ended safety,Closed-ended safety,Open-ended safety,Open-ended safety
Metric,,BLEU-1,ROUGE-L,METEOR,AUROC,AUPRC,AUROC,AUPRC,AUROC,AUPRC
Uncertainty method,Variant / weights,,,,,,,,,
Semantic entropy,Original condition,52.2905691991115,58.29422077922077,40.39704058033992,85.92844441517387,78.6224724664399,68.75,45.426463484348965,88.90240778688523,84.23975607579499
Semantic nearest-neighbour entropy,SNNE · ROUGE-L · n=20,52.2905691991115,58.29422077922077,40.39704058033992,88.0515674394099,82.69302363730354,71.15885416666666,41.34561965811966,91.37636612021858,89.48449306576734
Vision-Amplified Semantic Entropy,Vision-Amplified Semantic Entropy,52.2905691991115,58.29422077922077,40.39704058033992,86.82165437302423,81.06784912090215,61.71875,37.434736658082244,89.65270662568305,86.72705058504118
Question-aligned SNNE,Embedding · validation-selected · beta=10,52.2905691991115,58.29422077922077,40.39704058033992,88.33722997892518,83.68333577365455,71.09375,42.51839887165974,91.45961407103825,89.64310525331697
Weighted PA-SHE,"Equal: O=0.25, W=0.25, D=0.25, P=0.25",52.2905691991115,58.29422077922077,40.39704058033992,88.86986301369862,84.70699787962741,71.484375,52.24513480267956,91.82035519125682,89.54874020124979
Weighted PA-SHE,"Original-heavy: O=0.55, W=0.15, D=0.15, P=0.15",52.2905691991115,58.29422077922077,40.39704058033992,88.79165569020022,84.32166307190828,71.94010416666667,54.72040897698792,91.75098189890709,89.01589816309452
Weighted PA-SHE,"Moderate-original: O=0.40, W=0.20, D=0.20, P=0.20",52.2905691991115,58.29422077922077,40.39704058033992,88.85504478398315,84.57265630322954,71.80989583333333,55.28865619674443,91.8299607240437,89.3236825222398
Weighted PA-SHE,"Visual-heavy: O=0.35, W=0.25, D=0.25, P=0.15",52.2905691991115,58.29422077922077,40.39704058033992,88.89867623814544,84.63940842651895,71.94010416666667,55.25662592588869,91.7723275273224,89.40364685931695
Weighted PA-SHE,"Language-heavy: O=0.35, W=0.10, D=0.10, P=0.45",52.2905691991115,58.29422077922077,40.39704058033992,88.51422550052689,83.48183930190831,68.61979166666667,47.37185218535971,91.82248975409834,89.16634902163123
Weighted PA-SHE,"No paraphrase: O=0.40, W=0.30, D=0.30, P=0.00",52.2905691991115,58.29422077922077,40.39704058033992,88.88632771338251,83.21976701277165,69.33593750000001,42.30261461105115,91.60369706284153,88.59950172433552
Weighted PA-SHE,"No distortion: O=0.50, W=0.25, D=0.00, P=0.25",52.2905691991115,58.29422077922077,40.39704058033992,87.90420837723921,82.04491042198725,70.24739583333334,47.1433455123871,91.36249146174862,87.63678494637301
